,B_cell,T_cell,activated_stellate,alpha,beta,delta,ductal,endothelial,gamma,immune_other,macrophage,quiescent_stellate,schwann
79,Srgn,Ms4a4b,S100a6,Rps16,Hyou1,Bambi,Npm1,Snrk,Fosb,Wdr1,Mmp12,Lgals1,Rps4x
80,Rps28,Itk,Ctsc,Rps10,Wbp5,Gnao1,Lad1,H2-D1,Chic1,Id2,Itgb2,Mprip,Qk
81,Rps19,Cd27,Rpl10a,Rpl6,Psap,Pcp4,Cd24a,Ctnnb1,Rimbp2,Ssh1,Arpc1b,Serinc3,Rps5
82,Il10rb,Cd247,Colgalt1,Pak3,Mt1,Btg2,Slco3a1,Sat1,Egr1,Acta1,Ldha,Arhgdib,Hnrnpab
83,Rpl30,Gata3,Creb3l1,Chga,Spcs3,Igfbp7,Rhob,Vim,Kif1b,Ankrd44,Csf2rb,Sh3pxd2b,Rpl37
84,Bfsp2,Mir142hg,Lrp1,Id3,Ngfrap1,Ambp,Mgst1,Notch1,Nap1l5,Uvrag,Ninj1,Cspg4,Rpl12
85,Ms4a1,Itgal,Ddit4,Rps7,Mthfd2,Sez6l2,Itgb6,Mgll,Isg20,Rassf3,Rcbtb2,Zfp36l1,Fam129b
86,Rpl10a,Rhoh,Ccl7,Rps28,Sez6l2,Cyfip2,Nfix,Ldha,Cacna2d1,Arpc1b,Akr1a1,Ets1,Marcks
87,Cd79b,Tcf7,Lmna,Rplp2,Phactr1,Unc5c,Clic4,Mef2a,Sdc4,Nfkb2,Cytip,Vasn,Tubb6
88,Fcrla,Hcst,Tpm1,Rpl15,Saraf,Rgs2,Wfdc2,Rhob,Cbx6,Tmem131,Emp3,Ebf1,Psma7
89,Rpsa,Il16,Rhoc,Rpl38,C2cd4b,Pcsk2,Sdc4,Cmtm3,Hp1bp3,Ktn1,Pgd,Itgb5,Rpl7
90,Tnfrsf13b,Sla,Inhba,Fgl2,Cd164,Car8,Cdc42ep1,Gja1,Slc40a1,Srgn,Adgre1,Myadm,Rpl10a
91,Ikzf1,Sash3,Fscn1,Rpl37,Atp5g1,Khdrbs3,Errfi1,Sash1,Eef1b2,Pcyt1a,Hck,Nudt4,Rps19
92,Irf4,Junb,Bst2,Tspan7,Slc7a14,Pitpnc1,Lrrfip1,Arrdc3,Inafm1,Sema7a,Pitpna,Serpini1,Rplp0
93,Rhoh,Tnfrsf4,Sec13,Id1,Smim14,Gch1,Spp1,Hk1,Bsg,Rps27l,Lcp1,Ehd2,Rpl4
94,Rps17,Cd37,B2m,Mbnl2,Dnajb9,Smarca2,Ifngr1,Ppp1r18,Serping1,Necap2,Atp6v0c,Abcc9,Rpl24
95,Pyhin1,Maf,Cox4i2,Cnot6l,Enho,Rpn2,Lama5,Trp53i11,Ptprn,Tmcc3,Arhgdib,Serpine2,Fth1
96,Dock2,Fermt3,Fth1,Dst,Cpeb1,Ffar4,Agrn,Tmsb4x,Tmem9,Pim1,Arrb2,Tpm4,Itgb1
97,Fermt3,Samsn1,Tubb5,Spp1,Chic1,Rap1gap,Cldn7,Cdkn1a,Dnpep,Tap2,Marcks,Cd151,Rplp1
98,Adrbk1,Ms4a6b,Tuba1c,Rpl10,Sowahc,Slitrk6,Nupr1,Apold1,Fbxo3,Npc2,Trem2,Arrdc3,Rbm3
99,Syngr2,Cdk2ap2,Plod1,Spint2,Mlec,Peg10,Cyba,Tnfaip1,Ubc,Psmb8,Il7r,Tgfb1,Ppia
