,gene,beta,alpha,delta,ductal,endothelial,gamma,macrophage,quiescent_stellate,activated_stellate
19,Ptprn,8.106263982102908,5.858638743455497,6.935779816513762,0.20363636363636364,0.2446043165467626,6.121951219512195,0.25,1.0212765957446808,0.6428571428571429
20,Gcg,8.182326621923938,1201.6701570680627,7.995412844036697,2.8181818181818183,18.158273381294965,80.58536585365853,1.4166666666666667,38.61702127659574,2.357142857142857
21,Ttr,1.5302013422818792,86.14659685863874,0.7844036697247706,0.7163636363636363,2.143884892086331,5.463414634146342,0.1388888888888889,0.6170212765957447,0.0
22,Gpx3,1.0570469798657718,32.80104712041885,9.63302752293578,0.34545454545454546,0.3381294964028777,12.463414634146341,0.19444444444444445,0.6170212765957447,2.0
23,Gnas,7.782997762863535,43.13089005235602,20.889908256880734,4.025454545454545,5.201438848920863,24.585365853658537,1.9722222222222223,7.957446808510638,6.071428571428571
24,Pcsk1n,8.89261744966443,23.230366492146597,8.729357798165138,0.4072727272727273,0.6187050359712231,11.292682926829269,0.5555555555555556,0.7021276595744681,0.35714285714285715
25,Aplp1,2.6308724832214767,8.727748691099476,3.555045871559633,0.09818181818181818,0.4676258992805755,6.2682926829268295,0.1111111111111111,0.40425531914893614,0.0
26,Tmem27,2.2013422818791946,12.659685863874346,4.844036697247707,0.03272727272727273,0.20863309352517986,12.853658536585366,0.0,0.7872340425531915,0.21428571428571427
27,Resp18,3.5503355704697985,11.842931937172775,8.041284403669724,0.12,0.2805755395683453,7.951219512195122,0.1111111111111111,0.44680851063829785,0.14285714285714285
28,Pcsk2,20.4586129753915,37.64397905759162,18.743119266055047,0.8327272727272728,1.0215827338129497,25.878048780487806,0.5555555555555556,1.4893617021276595,0.42857142857142855
29,Rbp4,0.4217002237136465,5.549738219895288,18.477064220183486,0.10181818181818182,0.12949640287769784,2.292682926829268,0.2222222222222222,0.0851063829787234,0.2857142857142857
30,Cst3,1.5973154362416107,5.638743455497382,2.834862385321101,0.7527272727272727,1.1223021582733812,4.658536585365853,9.38888888888889,0.7446808510638298,0.5
31,Gc,0.174496644295302,2.9162303664921465,1.5,0.5018181818181818,0.04316546762589928,3.6097560975609757,0.027777777777777776,0.1702127659574468,0.0
32,Pyy,7.534675615212528,78.40314136125654,209.91743119266056,1.5927272727272728,1.39568345323741,600.6585365853658,1.8611111111111112,9.787234042553191,1.1428571428571428
33,Cpe,11.445190156599553,15.968586387434556,6.36697247706422,0.44,0.7769784172661871,11.878048780487806,0.3055555555555556,1.2553191489361701,0.2857142857142857
34,Mafb,0.0738255033557047,2.1780104712041886,0.03211009174311927,0.01090909090909091,0.08633093525179857,0.0975609756097561,3.9444444444444446,0.02127659574468085,0.0
35,Scg5,5.628635346756152,9.712041884816754,5.458715596330276,0.13818181818181818,0.3237410071942446,11.24390243902439,0.05555555555555555,0.8085106382978723,0.14285714285714285
36,Eef1a2,0.02796420581655481,1.356020942408377,0.22477064220183487,0.01090909090909091,0.007194244604316547,0.8048780487804879,0.0,0.0425531914893617,0.0
37,Ctsz,0.19574944071588368,2.298429319371728,0.26146788990825687,0.24727272727272728,0.16546762589928057,1.2439024390243902,3.4166666666666665,0.6382978723404256,0.7142857142857143
38,Irx1,0.003355704697986577,1.5549738219895288,0.009174311926605505,0.0,0.0,0.024390243902439025,0.0,0.02127659574468085,0.0
39,Lpl,2.3277404921700224,5.010471204188482,0.0779816513761468,0.05454545454545454,0.2014388489208633,1.5365853658536586,1.9722222222222223,1.3191489361702127,0.35714285714285715
40,Sst,8.412751677852349,5.356020942408377,700.8990825688073,5.24,2.4676258992805757,10.926829268292684,4.055555555555555,2.872340425531915,0.9285714285714286
41,Hhex,0.017897091722595078,0.015706806282722512,2.426605504587156,0.9963636363636363,0.17985611510791366,0.04878048780487805,0.027777777777777776,0.0,0.07142857142857142
42,Cd24a,0.1331096196868009,0.02617801047120419,4.2889908256880735,2.5163636363636366,0.5971223021582733,0.0,0.08333333333333333,0.10638297872340426,0.07142857142857142
43,Ppy,6.574944071588367,21.30366492146597,78.06422018348624,2.7345454545454544,1.920863309352518,1219.5121951219512,1.1388888888888888,23.74468085106383,0.8571428571428571
44,Chgb,8.654362416107382,3.670157068062827,15.935779816513762,0.33454545454545453,0.5827338129496403,6.0,0.16666666666666666,0.2765957446808511,0.14285714285714285
