,gene,beta,alpha,delta,ductal,endothelial,gamma,macrophage,quiescent_stellate,activated_stellate
11,Papss2,3.3198770281090186,0.6424841565596354,0.7494272676133116,0.35942149197263934,0.8167519356113508,0.0,0.5225092085464841,0.2470922481451654,0.26726124191242434
12,Scg2,17.086478512485897,5.075717672657963,14.549353129580718,0.9481165627649641,2.3546474276191085,9.354404205975948,0.7699721701835351,1.7799895019906826,0.46880723093849547
13,Atp2a2,5.735096209164678,1.4295815819975664,1.4473379462297473,1.4624065938672222,1.4228500052431732,1.140175425099138,1.2041594578792294,1.8935598532047582,0.7595545253127499
14,Syt4,3.3675038709123215,0.8108862506145096,1.0597903684593812,0.3037915675638368,0.2891713341141553,0.7785226785236316,0.0,0.20402970888857874,0.0
15,Nkx6-1,2.2858796056325494,0.6666482958798884,0.3677308466301861,0.17943359975758214,0.6236234972251405,0.8402961150544549,0.3333333333333333,0.0,0.0
16,Acly,4.215155331085566,1.9904151699862882,2.5071326821120343,0.7856881733697276,1.0368057262888113,0.9753048303966929,0.3187276291558383,0.8223294454953984,0.8254203058555569
17,Gsdma,4.009701022269848,1.5813043856922122,0.8985324638035387,0.23051829890788908,0.5369274683283008,0.5108577196794598,0.0,0.14586499149789453,0.2672612419124244
18,Spock2,2.1197907456371645,0.6562752179936013,1.0892602865832623,0.14635586703033263,0.39731136862257393,0.8293400255919042,0.23231068414572323,0.40805941777715743,0.0
19,Ptprn,8.173024273803392,4.946653970680478,6.11302941688952,0.6237289663711141,0.700328355893283,3.9572409703682405,0.7319250547114,3.5964315750484603,1.2774459408789602
20,Gcg,45.2997640553695,573.5681036968462,40.10625262472623,7.691807446344389,59.44200181358196,339.2736340779928,1.4808298831591502,230.52883939094113,3.225073472201665
21,Ttr,3.8465360231134023,79.78444299248339,3.2618920836428815,3.0060015174248433,7.273698051814702,14.356353229451429,0.42445109277598775,3.0825821438285317,0.0
22,Gpx3,2.5895151249484707,20.750452092801808,9.177874165731627,0.7693532647094208,0.8891777412716386,14.835931991242767,0.46717659215115687,2.2317198621277994,3.2581259360842107
23,Gnas,7.754917636848653,32.8559637900345,18.501383408004315,3.968315119024099,4.242947867976213,35.473916903660424,2.5688920470129433,12.62323159686917,7.927210060333922
24,Pcsk1n,6.912806110839194,11.770137027853595,7.533957567996216,1.2820852291627982,1.4615639997650591,7.263759021467549,1.2749105166233532,3.2094621899262408,0.4972451580988469
25,Aplp1,2.896533805172164,5.611943528590642,3.4825697974627112,0.38374399783266266,0.9033124090312685,6.277039072062172,0.4646213682914464,1.3934563606540316,0.0
26,Tmem27,3.626417688454131,11.983954092463506,5.737216704934931,0.17824626761230458,0.6424006170684504,13.53986886127365,0.0,4.813640808716168,0.42581531362632
27,Resp18,4.228527192355947,7.733484255296702,8.54983451489594,0.5827195241242741,0.9404653256089318,6.848179391313413,0.39840953644479793,2.4830600917127295,0.36313651960128146
28,Pcsk2,17.147929224411627,18.73243606490824,13.285176708619964,2.9212944926760827,2.1006128363873655,14.961943593583053,1.2292725943057183,6.412868653444219,0.646206172658864
29,Rbp4,2.093026606586502,5.275203905717767,18.62414880015779,0.9224473377429689,0.5625322196775691,2.713336529432208,0.8979694907674793,0.4582474760500028,0.6112498455021267
30,Cst3,1.9641334813701927,3.768339923786992,3.0450193872178435,1.2486276474556819,1.7044716621784075,3.6919490523134324,7.263520507214814,1.580699970244099,0.6504436355879909
31,Gc,0.5937133542554027,3.1561632986435604,2.6330931854953983,2.155242370326525,0.23684225769646344,4.392482491601348,0.16666666666666666,1.0282773466203647,0.0
32,Pyy,35.140900597444436,124.7892952164016,232.82718927010407,2.2314813371827884,1.6923472467020098,527.8475447397714,3.2351001554624266,56.99616164429988,1.4600918230947435
33,Cpe,10.311976441909279,8.24742751545966,5.75724036308346,1.010456281988597,1.7196358119141875,8.594169889963837,0.6684499957554019,3.565950602613211,1.0690449676496976
34,Mafb,0.5448810104430682,2.8726914245951316,0.2228349946228441,0.10406470346997884,0.32929468738126455,0.4901468172282916,3.9420404031012337,0.14586499149789453,0.0
35,Scg5,5.417890290667163,5.886274089002992,5.005125686267197,0.4708630486851989,0.8945554100848206,7.758158569547538,0.2323106841457232,4.041299284573349,0.5345224838248488
36,Eef1a2,0.19598687838755033,1.5283127537396648,0.6294838736239243,0.10406470346997886,0.08481889296799709,1.2887884270725345,0.0,0.20402970888857871,0.0
37,Ctsz,0.560698500417424,2.5339687290844677,0.6371607899393058,0.5509959613608486,0.4599483635504409,1.9846975563656801,2.5227535976162465,1.737383488929278,0.825420305855557
38,Irx1,0.05786353879564618,2.3386599569086446,0.0955616763742655,0.0,0.0,0.15617376188860604,0.0,0.14586499149789453,0.0
39,Lpl,4.055462636461857,5.576255609179271,0.3571153754276699,0.2713968878534954,0.672221669304645,3.4575826886396355,5.49017882150149,3.4458947407447487,0.633323693776651
40,Sst,62.60177106846125,16.30334008011794,583.6686681608866,18.107158724667215,2.500151178830097,46.118537619867375,9.474611019364014,2.183107291639261,1.071611705960535
41,Hhex,0.1696899436266515,0.124665438192574,2.625052721062313,1.9935995794904227,0.5678818840389089,0.3123475237772121,0.16666666666666666,0.0,0.2672612419124244
42,Cd24a,0.6144580868453643,0.1600840231293682,5.770892150430209,3.2153125670426426,1.21416413939696,0.0,0.3683941988065036,0.3749807272259927,0.2672612419124244
